title,price,pegi_rating,platform
,,,
Elex 2 PS5,"9,95",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"9,95",Advies: ,PlayStation 5
,,,
Ghost of Tsushima - Director's Cut - PS5,"63,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Ghost of Tsushima - Director's Cut - PS5,"63,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"63,99",Advies: ,PlayStation 5
,,,
Tiny Tina's Wonderlands - Édition Next-Level,"33,95",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Tiny Tina's Wonderlands - Édition Next-Level,"33,95",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"33,95",,PlayStation 5
,,,
Farming Simulator 22 - Platinum Edition - PS5,"42,36",PEGI-rating: 3 jaar en ouder,PlayStation 5
,,,
Farming Simulator 22 - Platinum Edition - PS5,"42,36",PEGI-rating: 3 jaar en ouder,PlayStation 5
,"42,36",,PlayStation 5
,,,
Chernobylite (PS5),"19,95",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Chernobylite (PS5),"19,95",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"19,95",Advies: ,PlayStation 5
,,,
Unbound : Worlds Apart,"18,00",PEGI-rating: 7 jaar en ouder,PlayStation 5
,,,
Unbound : Worlds Apart,"18,00",PEGI-rating: 7 jaar en ouder,PlayStation 5
,"18,00",,PlayStation 5
,,,
Teenage Mutant Ninja Turtles: Shredders Revenge (Playstation 5),"26,61",PEGI-rating: 12 jaar en ouder,PlayStation 5
,,,
Teenage Mutant Ninja Turtles: Shredders Revenge (Playstation 5),"26,61",PEGI-rating: 12 jaar en ouder,PlayStation 5
,"26,61",Advies: ,PlayStation 5
,,,
"Just Dance 2022 (Inclusief ""Waterval"" van K3) (PS5)","14,97",PEGI-rating: 3 jaar en ouder,PlayStation 5
,,,
"Just Dance 2022 (Inclusief ""Waterval"" van K3) (PS5)","14,97",PEGI-rating: 3 jaar en ouder,PlayStation 5
,"14,97",Meer mogelijkheden,PlayStation 5
,,,
,,,
,,,
,,,
,,,
New Tales from the Borderlands - Deluxe Edition - PS5,"28,21",PEGI-rating: 18 jaar en ouder,PlayStation 5
New Tales from the Borderlands - Deluxe Edition - PS5,"28,21",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
New Tales from the Borderlands - Deluxe Edition - PS5,"28,21",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"28,21",,PlayStation 5
,,,
"Capcom Resident Evil Village Basic German, English PlayStation 5","29,99",USK-beoordeling: Vanaf 18 jaar,PlayStation 5
,,,
"Capcom Resident Evil Village Basic German, English PlayStation 5","29,99",USK-beoordeling: Vanaf 18 jaar,PlayStation 5
,"29,99",,PlayStation 5
,,,
The Witcher 3: Wild Hunt – Complete Edition,"35,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
The Witcher 3: Wild Hunt – Complete Edition,"35,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"35,99",Mediaan: ,PlayStation 5
,,,
Just Dance 2023 - Code in a Box - PS5,"22,07",PEGI-rating: 3 jaar en ouder,PlayStation 5
,,,
Just Dance 2023 - Code in a Box - PS5,"22,07",PEGI-rating: 3 jaar en ouder,PlayStation 5
,"22,07",Advies: ,PlayStation 5
,,,
The Medium PS5 Game,,PEGI-rating: 12 jaar en ouder,PlayStation 5
,,,
The Medium PS5 Game,,PEGI-rating: 12 jaar en ouder,PlayStation 5
