title,price,pegi_rating,platform
TUNIC - Switch,37.65,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Mario + Rabbids Kingdom Battle (Nintendo Switch),29.99,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Cities Skylines (Switch) (Nintendo Switch),29.34,PEGI-rating: 3 jaar en ouder,Nintendo Switch
Nintendo Switch Fire Emblem Engage,49.99,PEGI-rating: 12 jaar en ouder,Nintendo Switch
Atari 50: The Anniversary Celebration - Switch,29.99,Advies: ,Nintendo Switch
Xenoblade Chronicles 3,44.99,PEGI-rating: 12 jaar en ouder,Nintendo Switch
Nintendo Switch Captain Toad: Treasure Tracker,35.95,PEGI-rating: 3 jaar en ouder,Nintendo Switch
TAIKO NO TATSUJIN RYTHM FESTIVAL,104.95,Advies: ,Nintendo Switch
Mario + Rabbids Kingdom Battle Ben Switch,23.39,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Nintendo Switch Luigi's Mansion 3,48.95,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Big Brain Academy: Knappe Koppen NL Versie - Nintendo Switch,26.99,PEGI-rating: 3 jaar en ouder,Nintendo Switch
Teenage Mutant Ninja Turtles: The Cowabunga Collection - Switch,29.99,PEGI-rating: 12 jaar en ouder,Nintendo Switch
Zumba Burn It Up (Nintendo Switch),33.3,PEGI-rating: 12 jaar en ouder,Nintendo Switch
Nintendo Switch Pokemon: Let's Go. Pikachu!,48.95,PEGI-rating: 3 jaar en ouder,Nintendo Switch
Rayman Legends Definitive Edition Ben Switch,19.5,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Minecraft,29.99,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Diablo Eternal Collection (Nintendo Switch),32.89,PEGI-rating: 16 jaar en ouder,Nintendo Switch
Hello Neighbor (Nintendo Switch),22,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Witcher 3: Wild Hunt - Base Game (Nintendo Switch),29.95,PEGI-rating: 18 jaar en ouder,Nintendo Switch
The Layton Adventure - Deluxe Edition Switch Game,39.01,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Crash Bandicoot N. Sane Trilogy (Nintendo Switch),26.27,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Lego Jurassic World NSW (Nintendo Switch),17.95,PEGI-rating: 12 jaar en ouder,Nintendo Switch
PAW Patrol The Movie: Adventure City Calls - Nintendo Switch,19.95,PEGI-rating: 3 jaar en ouder,Nintendo Switch
LEGO Harry Potter Years 1-7 Collection (Nintendo Switch),26.75,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Super Mario Maker 2 - Standard Edition [Nintendo Switch],49.95,USK-beoordeling: Geen leeftijdsbeperking,Nintendo Switch
30 in 1 Collection Vol 1 NS,29.99,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Nintendo Switch Live a Live,38.22,PEGI-rating: 12 jaar en ouder,Nintendo Switch
Need for Speed: Hot Pursuit Remastered - Nintendo Switch,29.98,PEGI-rating: 12 jaar en ouder,Nintendo Switch
Overcooked! + Overcooked! 2 (Nintendo Switch),29.99,PEGI-rating: 3 jaar en ouder,Nintendo Switch
Hollow Knight (Nintendo Switch),33,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Mario Strikers : Battle League Football,47.99,PEGI-rating: 7 jaar en ouder,Nintendo Switch
Paw Patrol: On a Roll (Nintendo Switch),24.42,PEGI-rating: 3 jaar en ouder,Nintendo Switch
Nintendo Switch Yoshi's Crafted World,48.01,PEGI-rating: 3 jaar en ouder,Nintendo Switch
